node,year,availability_import
BG,2022,0.0035374617814649
BG,2023,0.0035225537546917
BG,2024,0.0035076457279186
BG,2025,0.0034927377011454
BG,2026,0.0034893301521686
BG,2027,0.0034859226031919
BG,2028,0.0034825150542152
BG,2029,0.0034791075052385
BG,2030,0.0034756999562617
BG,2031,0.0034756999562617
BG,2032,0.0034756999562617
BG,2033,0.0034756999562617
BG,2034,0.0034756999562617
BG,2035,0.0034756999562617
BG,2036,0.0034791075052385
BG,2037,0.0034825150542152
BG,2038,0.0034859226031919
BG,2039,0.0034893301521686
BG,2040,0.0034927377011454
BG,2041,0.0034927377011454
BG,2042,0.0034927377011454
BG,2043,0.0034927377011454
BG,2044,0.0034927377011454
BG,2045,0.0034927377011454
BG,2046,0.0034927377011454
BG,2047,0.0034927377011454
BG,2048,0.0034927377011454
BG,2049,0.0034927377011454
BG,2050,0.0034927377011454
DE,2022,0.0904733507004629
DE,2023,0.0900920662604248
DE,2024,0.0897107818203867
DE,2025,0.0893294973803486
DE,2026,0.0892423466511971
DE,2027,0.0891551959220455
DE,2028,0.089068045192894
DE,2029,0.0889808944637424
DE,2030,0.0888937437345909
DE,2031,0.0888937437345909
DE,2032,0.0888937437345909
DE,2033,0.0888937437345909
DE,2034,0.0888937437345909
DE,2035,0.0888937437345909
DE,2036,0.0889808944637424
DE,2037,0.089068045192894
DE,2038,0.0891551959220455
DE,2039,0.0892423466511971
DE,2040,0.0893294973803486
DE,2041,0.0893294973803486
DE,2042,0.0893294973803486
DE,2043,0.0893294973803486
DE,2044,0.0893294973803486
DE,2045,0.0893294973803486
DE,2046,0.0893294973803486
DE,2047,0.0893294973803486
DE,2048,0.0893294973803486
DE,2049,0.0893294973803486
DE,2050,0.0893294973803486
EE,2022,0.0
EE,2023,0.0
EE,2024,0.0
EE,2025,0.0
EE,2026,0.0
EE,2027,0.0
EE,2028,0.0
EE,2029,0.0
EE,2030,0.0
EE,2031,0.0
EE,2032,0.0
EE,2033,0.0
EE,2034,0.0
EE,2035,0.0
EE,2036,0.0
EE,2037,0.0
EE,2038,0.0
EE,2039,0.0
EE,2040,0.0
EE,2041,0.0
EE,2042,0.0
EE,2043,0.0
EE,2044,0.0
EE,2045,0.0
EE,2046,0.0
EE,2047,0.0
EE,2048,0.0
EE,2049,0.0
EE,2050,0.0
EL,2022,1.0
EL,2023,1.0
EL,2024,1.0
EL,2025,1.0
EL,2026,1.0
EL,2027,1.0
EL,2028,1.0
EL,2029,1.0
EL,2030,1.0
EL,2031,1.0
EL,2032,1.0
EL,2033,1.0
EL,2034,1.0
EL,2035,1.0
EL,2036,1.0
EL,2037,1.0
EL,2038,1.0
EL,2039,1.0
EL,2040,1.0
EL,2041,1.0
EL,2042,1.0
EL,2043,1.0
EL,2044,1.0
EL,2045,1.0
EL,2046,1.0
EL,2047,1.0
EL,2048,1.0
EL,2049,1.0
EL,2050,1.0
ES,2022,1.0
ES,2023,0.9372445817739804
ES,2024,0.8744891635479606
ES,2025,0.811733745321941
ES,2026,0.8175684014989082
ES,2027,0.8234030576758756
ES,2028,0.8292377138528428
ES,2029,0.8350723700298102
ES,2030,0.8409070262067774
ES,2031,0.8365054434767846
ES,2032,0.8321038607467917
ES,2033,0.8277022780167989
ES,2034,0.8233006952868058
ES,2035,0.818899112556813
ES,2036,0.8279581839894727
ES,2037,0.8370172554221326
ES,2038,0.8460763268547923
ES,2039,0.855135398287452
ES,2040,0.8641944697201118
ES,2041,0.8641944697201118
ES,2042,0.8641944697201118
ES,2043,0.8641944697201118
ES,2044,0.8641944697201118
ES,2045,0.8641944697201118
ES,2046,0.8641944697201118
ES,2047,0.8641944697201118
ES,2048,0.8641944697201118
ES,2049,0.8641944697201118
ES,2050,0.8641944697201118
FI,2022,0.0
FI,2023,0.0
FI,2024,0.0
FI,2025,0.0
FI,2026,0.0
FI,2027,0.0
FI,2028,0.0
FI,2029,0.0
FI,2030,0.0
FI,2031,0.0
FI,2032,0.0
FI,2033,0.0
FI,2034,0.0
FI,2035,0.0
FI,2036,0.0
FI,2037,0.0
FI,2038,0.0
FI,2039,0.0
FI,2040,0.0
FI,2041,0.0
FI,2042,0.0
FI,2043,0.0
FI,2044,0.0
FI,2045,0.0
FI,2046,0.0
FI,2047,0.0
FI,2048,0.0
FI,2049,0.0
FI,2050,0.0
HU,2022,0.0752019769460313
HU,2023,0.0748850510949644
HU,2024,0.0745681252438974
HU,2025,0.0742511993928305
HU,2026,0.0741787591983009
HU,2027,0.0741063190037713
HU,2028,0.0740338788092417
HU,2029,0.0739614386147121
HU,2030,0.0738889984201825
HU,2031,0.0738889984201825
HU,2032,0.0738889984201825
HU,2033,0.0738889984201825
HU,2034,0.0738889984201825
HU,2035,0.0738889984201825
HU,2036,0.0739614386147121
HU,2037,0.0740338788092417
HU,2038,0.0741063190037713
HU,2039,0.0741787591983009
HU,2040,0.0742511993928305
HU,2041,0.0742511993928305
HU,2042,0.0742511993928305
HU,2043,0.0742511993928305
HU,2044,0.0742511993928305
HU,2045,0.0742511993928305
HU,2046,0.0742511993928305
HU,2047,0.0742511993928305
HU,2048,0.0742511993928305
HU,2049,0.0742511993928305
HU,2050,0.0742511993928305
IT,2022,1.0
IT,2023,0.9372445817739804
IT,2024,0.8744891635479606
IT,2025,0.811733745321941
IT,2026,0.8175684014989082
IT,2027,0.8234030576758756
IT,2028,0.8292377138528428
IT,2029,0.8350723700298102
IT,2030,0.8409070262067774
IT,2031,0.8365054434767846
IT,2032,0.8321038607467917
IT,2033,0.8277022780167989
IT,2034,0.8233006952868058
IT,2035,0.818899112556813
IT,2036,0.8279581839894727
IT,2037,0.8370172554221326
IT,2038,0.8460763268547923
IT,2039,0.855135398287452
IT,2040,0.8641944697201118
IT,2041,0.8641944697201118
IT,2042,0.8641944697201118
IT,2043,0.8641944697201118
IT,2044,0.8641944697201118
IT,2045,0.8641944697201118
IT,2046,0.8641944697201118
IT,2047,0.8641944697201118
IT,2048,0.8641944697201118
IT,2049,0.8641944697201118
IT,2050,0.8641944697201118
LT,2022,0.0
LT,2023,0.0
LT,2024,0.0
LT,2025,0.0
LT,2026,0.0
LT,2027,0.0
LT,2028,0.0
LT,2029,0.0
LT,2030,0.0
LT,2031,0.0
LT,2032,0.0
LT,2033,0.0
LT,2034,0.0
LT,2035,0.0
LT,2036,0.0
LT,2037,0.0
LT,2038,0.0
LT,2039,0.0
LT,2040,0.0
LT,2041,0.0
LT,2042,0.0
LT,2043,0.0
LT,2044,0.0
LT,2045,0.0
LT,2046,0.0
LT,2047,0.0
LT,2048,0.0
LT,2049,0.0
LT,2050,0.0
NO,2022,1.0
NO,2023,1.0
NO,2024,1.0
NO,2025,1.0
NO,2026,0.968503937007874
NO,2027,0.937007874015748
NO,2028,0.905511811023622
NO,2029,0.874015748031496
NO,2030,0.8425196850393699
NO,2031,0.8031496062992125
NO,2032,0.763779527559055
NO,2033,0.7244094488188976
NO,2034,0.68503937007874
NO,2035,0.6456692913385826
NO,2036,0.6456692913385826
NO,2037,0.6456692913385826
NO,2038,0.6456692913385826
NO,2039,0.6456692913385826
NO,2040,0.6456692913385826
NO,2041,0.6456692913385826
NO,2042,0.6456692913385826
NO,2043,0.6456692913385826
NO,2044,0.6456692913385826
NO,2045,0.6456692913385826
NO,2046,0.6456692913385826
NO,2047,0.6456692913385826
NO,2048,0.6456692913385826
NO,2049,0.6456692913385826
NO,2050,0.6456692913385826
PL,2022,0.3143741903150223
PL,2023,0.3130493141366929
PL,2024,0.3117244379583635
PL,2025,0.3103995617800341
PL,2026,0.3100967329392731
PL,2027,0.3097939040985121
PL,2028,0.309491075257751
PL,2029,0.30918824641699
PL,2030,0.308885417576229
PL,2031,0.308885417576229
PL,2032,0.308885417576229
PL,2033,0.308885417576229
PL,2034,0.308885417576229
PL,2035,0.308885417576229
PL,2036,0.30918824641699
PL,2037,0.309491075257751
PL,2038,0.3097939040985121
PL,2039,0.3100967329392731
PL,2040,0.3103995617800341
PL,2041,0.3103995617800341
PL,2042,0.3103995617800341
PL,2043,0.3103995617800341
PL,2044,0.3103995617800341
PL,2045,0.3103995617800341
PL,2046,0.3103995617800341
PL,2047,0.3103995617800341
PL,2048,0.3103995617800341
PL,2049,0.3103995617800341
PL,2050,0.3103995617800341
RO,2022,0.2048128803722771
RO,2023,0.2039497315687817
RO,2024,0.2030865827652862
RO,2025,0.2022234339617908
RO,2026,0.2020261428067061
RO,2027,0.2018288516516214
RO,2028,0.2016315604965368
RO,2029,0.2014342693414521
RO,2030,0.2012369781863674
RO,2031,0.2012369781863674
RO,2032,0.2012369781863674
RO,2033,0.2012369781863674
RO,2034,0.2012369781863674
RO,2035,0.2012369781863674
RO,2036,0.2014342693414521
RO,2037,0.2016315604965368
RO,2038,0.2018288516516214
RO,2039,0.2020261428067061
RO,2040,0.2022234339617908
RO,2041,0.2022234339617908
RO,2042,0.2022234339617908
RO,2043,0.2022234339617908
RO,2044,0.2022234339617908
RO,2045,0.2022234339617908
RO,2046,0.2022234339617908
RO,2047,0.2022234339617908
RO,2048,0.2022234339617908
RO,2049,0.2022234339617908
RO,2050,0.2022234339617908
SK,2022,0.001173330599149
SK,2023,0.0011683857983097
SK,2024,0.0011634409974704
SK,2025,0.0011584961966311
SK,2026,0.0011573659564393
SK,2027,0.0011562357162475
SK,2028,0.0011551054760556
SK,2029,0.0011539752358638
SK,2030,0.001152844995672
SK,2031,0.001152844995672
SK,2032,0.001152844995672
SK,2033,0.001152844995672
SK,2034,0.001152844995672
SK,2035,0.001152844995672
SK,2036,0.0011539752358638
SK,2037,0.0011551054760556
SK,2038,0.0011562357162475
SK,2039,0.0011573659564393
SK,2040,0.0011584961966311
SK,2041,0.0011584961966311
SK,2042,0.0011584961966311
SK,2043,0.0011584961966311
SK,2044,0.0011584961966311
SK,2045,0.0011584961966311
SK,2046,0.0011584961966311
SK,2047,0.0011584961966311
SK,2048,0.0011584961966311
SK,2049,0.0011584961966311
SK,2050,0.0011584961966311
